h,forward2_error,backward2_error,central2_error
0.1,0.0489939,0.0587966,0.000700992
0.05,0.0257715,0.0282249,0.000175292
0.01,0.0053538,0.00545197,7.01223e-06
0.005,0.00268922,0.00271377,1.75306e-06
0.001,0.000539811,0.000540793,6.99716e-08
