h,forward_error,backward_error,central_error
0.1,0.14056,0.131495,0.00453274
0.05,0.069104,0.0668384,0.00113276
0.01,0.0136368,0.0135462,4.53049e-05
0.005,0.00680704,0.00678439,1.13262e-05
0.001,0.00135959,0.00135869,4.53047e-07
