h,forward2_error,backward2_error,central2_error
0.1,0.6,0.6,4.88498e-14
0.05,0.3,0.3,4.44089e-15
0.01,0.06,0.06,1.77103e-12
0.005,0.03,0.03,1.39835e-11
0.001,0.006,0.006,4.936e-10
